PH133900000,Barangay 482,PH133906088,,U,701
PH133900000,Barangay 191,PH133901191,,U,703
PH133900000,Barangay 612,PH133906219,,U,703
PH133900000,Barangay 794,PH133914050,,U,710
PH133900000,Barangay 438,PH133906044,,U,712
PH133900000,Barangay 603,PH133906210,,U,712
PH133900000,Barangay 174,PH133901174,,U,715
PH133900000,Barangay 361,PH133905063,,U,715
PH133900000,Barangay 89,PH133901089,,U,720
PH133900000,Barangay 756,PH133914012,,U,721
PH133900000,Barangay 404,PH133906010,,U,723
PH133900000,Barangay 620,PH133906227,,U,725
PH133900000,Barangay 644,PH133907008,,U,729
PH133900000,Barangay 689,PH133910004,,U,733
PH133900000,Barangay 233,PH133901234,,U,735
PH133900000,Barangay 261,PH133901262,,U,735
PH133900000,Barangay 357,PH133905059,,U,736
PH133900000,Barangay 247,PH133901248,,U,737
PH133900000,Barangay 318,PH133905020,,U,740
PH133900000,Barangay 618,PH133906225,,U,740
PH133900000,Barangay 360,PH133905062,,U,741
PH133900000,Barangay 548,PH133906154,,U,749
PH133900000,Barangay 459,PH133906065,,U,752
PH133900000,Barangay 708,PH133910023,,U,753
PH133900000,Barangay 608,PH133906215,,U,756
PH133900000,Barangay 891,PH133914084,,U,760
PH133900000,Barangay 465,PH133906071,,U,762
PH133900000,Barangay 641,PH133907005,,U,763
PH133900000,Barangay 752,PH133914009,,U,763
PH133900000,Barangay 6,PH133901006,,U,771
PH133900000,Barangay 370,PH133905073,,U,772
PH133900000,Barangay 194,PH133901194,,U,775
PH133900000,Barangay 816,PH133911030,,U,781
PH133900000,Barangay 488,PH133906094,,U,783
PH133900000,Barangay 683,PH133911017,,U,784
PH133900000,Barangay 759,PH133914015,,U,787
PH133900000,Barangay 349,PH133905051,,U,788
PH133900000,Barangay 460,PH133906066,,U,789
PH133900000,Barangay 526,PH133906132,,U,790
PH133900000,Barangay 390,PH133903010,,U,792
PH133900000,Barangay 322,PH133905024,,U,799
PH133900000,Barangay 44,PH133901044,,U,800
PH133900000,Barangay 236,PH133901237,,U,801
PH133900000,Barangay 542,PH133906148,,U,802
PH133900000,Barangay 742,PH133910056,,U,807
PH133900000,Barangay 611,PH133906218,,U,808
PH133900000,Barangay 480,PH133906086,,U,810
PH133900000,Barangay 666,PH133908008,,U,810
PH133900000,Barangay 748,PH133914005,,U,812
PH133900000,Barangay 491,PH133906097,,U,813
PH133900000,Barangay 864,PH133912032,,U,813
PH133900000,Barangay 502,PH133906108,,U,815
PH133900000,Barangay 416,PH133906022,,U,821
PH133900000,Barangay 538,PH133906144,,U,821
PH133900000,Barangay 543,PH133906149,,U,822
PH133900000,Barangay 556,PH133906162,,U,822
PH133900000,Barangay 682,PH133911016,,U,822
PH133900000,Barangay 273,PH133904006,,U,825
PH133900000,Barangay 326,PH133905028,,U,825
PH133900000,Barangay 316,PH133905018,,U,829
PH133900000,Barangay 463,PH133906069,,U,830
PH133900000,Barangay 888,PH133914081,,U,837
PH133900000,Barangay 728,PH133910043,,U,840
PH133900000,Barangay 371,PH133905074,,U,842
PH133900000,Barangay 501,PH133906107,,U,845
PH133900000,Barangay 441,PH133906047,,U,856
PH133900000,Barangay 461,PH133906067,,U,863
PH133900000,Barangay 889,PH133914082,,U,864
PH133900000,Barangay 188,PH133901188,,U,865
PH133900000,Barangay 524,PH133906130,,U,865
PH133900000,Barangay 549,PH133906155,,U,867
PH133900000,Barangay 729,PH133910044,,U,871
PH133900000,Barangay 333,PH133905035,,U,877
PH133900000,Barangay 144,PH133901144,,U,880
PH133900000,Barangay 57,PH133901057,,U,882
PH133900000,Barangay 166,PH133901166,,U,882
PH133900000,Barangay 545,PH133906151,,U,883
PH133900000,Barangay 415,PH133906021,,U,884
PH133900000,Barangay 187,PH133901187,,U,886
PH133900000,Barangay 546,PH133906152,,U,892
PH133900000,Barangay 382,PH133905085,,U,896
PH133900000,Barangay 822,PH133911037,,U,897
PH133900000,Barangay 437,PH133906043,,U,899
PH133900000,Barangay 734,PH133910063,,U,902
PH133900000,Barangay 269,PH133904002,,U,904
PH133900000,Barangay 252,PH133901253,,U,910
PH133900000,Barangay 616,PH133906223,,U,910
PH133900000,Barangay 137,PH133901137,,U,911
PH133900000,Barangay 533,PH133906139,,U,913
PH133900000,Barangay 169,PH133901169,,U,914
PH133900000,Barangay 270,PH133904003,,U,918
PH133900000,Barangay 646,PH133907010,,U,918
PH133900000,Barangay 716,PH133910031,,U,920
PH133900000,Barangay 380,PH133905083,,U,921
PH133900000,Barangay 617,PH133906224,,U,921
PH133900000,Barangay 331,PH133905033,,U,924
PH133900000,Barangay 132,PH133901132,,U,925
PH133900000,Barangay 167,PH133901167,,U,926
PH133900000,Barangay 376,PH133905079,,U,930
PH133900000,Barangay 445,PH133906051,,U,931
PH133900000,Barangay 679,PH133911013,,U,931
PH133900000,Barangay 785,PH133914041,,U,932
PH133900000,Barangay 529,PH133906135,,U,935
PH133900000,Barangay 552,PH133906158,,U,937
PH133900000,Barangay 444,PH133906050,,U,941
PH133900000,Barangay 536,PH133906142,,U,944
PH133900000,Barangay 573,PH133906179,,U,947
PH133900000,Barangay 154,PH133901154,,U,948
PH133900000,Barangay 623,PH133906230,,U,954
PH133900000,Barangay 531,PH133906137,,U,956
PH133900000,Barangay 551,PH133906157,,U,959
PH133900000,Barangay 878,PH133914071,,U,960
PH133900000,Barangay 284,PH133904017,,U,961
PH133900000,Barangay 436,PH133906042,,U,964
PH133900000,Barangay 610,PH133906217,,U,968
PH133900000,Barangay 680,PH133911014,,U,968
PH133900000,Barangay 486,PH133906092,,U,969
PH133900000,Barangay 788,PH133914044,,U,969
PH133900000,Barangay 355,PH133905057,,U,970
PH133900000,Barangay 193,PH133901193,,U,979
PH133900000,Barangay 300,PH133905004,,U,981
PH133900000,Barangay 657,PH133909004,,U,982
PH133900000,Barangay 577,PH133906183,,U,985
PH133900000,Barangay 532,PH133906138,,U,987
PH133900000,Barangay 175,PH133901175,,U,988
PH133900000,Barangay 588,PH133906195,,U,989
PH133900000,Barangay 550,PH133906156,,U,992
PH133900000,Barangay 405,PH133906011,,U,999
PH133900000,Barangay 813,PH133911027,,U,1001
PH133900000,Barangay 446,PH133906052,,U,1002
PH133900000,Barangay 161,PH133901161,,U,1004
PH133900000,Barangay 440,PH133906046,,U,1004
PH133900000,Barangay 481,PH133906087,,U,1004
PH133900000,Barangay 508,PH133906114,,U,1006
PH133900000,Barangay 575,PH133906181,,U,1007
PH133900000,Barangay 165,PH133901165,,U,1014
PH133900000,Barangay 289,PH133902003,,U,1017
PH133900000,Barangay 298,PH133905002,,U,1020
PH133900000,Barangay 179,PH133901179,,U,1021
PH133900000,Barangay 61,PH133901061,,U,1022
PH133900000,Barangay 875,PH133914068,,U,1022
PH133900000,Barangay 451,PH133906057,,U,1027
PH133900000,Barangay 625,PH133906232,,U,1027
PH133900000,Barangay 145,PH133901145,,U,1029
PH133900000,Barangay 358,PH133905060,,U,1029
PH133900000,Barangay 517,PH133906123,,U,1029
PH133900000,Barangay 256,PH133901257,,U,1030
PH133900000,Barangay 308,PH133903017,,U,1033
PH133900000,Barangay 498,PH133906104,,U,1033
PH133900000,Barangay 535,PH133906141,,U,1035
PH133900000,Barangay 74,PH133901074,,U,1039
PH133900000,Barangay 452,PH133906058,,U,1039
PH133900000,Barangay 760,PH133914016,,U,1041
PH133900000,Barangay 654,PH133909001,,U,1042
PH133900000,Barangay 685,PH133911019,,U,1044
PH133900000,Barangay 477,PH133906083,,U,1045
PH133900000,Barangay 609,PH133906216,,U,1046
PH133900000,Barangay 890,PH133914083,,U,1049
PH133900000,Barangay 439,PH133906045,,U,1052
PH133900000,Barangay 707,PH133910022,,U,1052
PH133900000,Barangay 851,PH133912019,,U,1052
PH133900000,Barangay 134,PH133901134,,U,1058
PH133900000,Barangay 547,PH133906153,,U,1059
PH133900000,Barangay 323,PH133905025,,U,1060
PH133900000,Barangay 761,PH133914017,,U,1062
PH133900000,Barangay 272,PH133904005,,U,1064
PH133900000,Barangay 399,PH133906005,,U,1068
PH133900000,Barangay 712,PH133910027,,U,1068
PH133900000,Barangay 224,PH133901225,,U,1069
PH133900000,Barangay 861,PH133912029,,U,1072
PH133900000,Barangay 219,PH133901220,,U,1080
PH133900000,Barangay 537,PH133906143,,U,1085
PH133900000,Barangay 255,PH133901256,,U,1086
PH133900000,Barangay 516,PH133906122,,U,1087
PH133900000,Barangay 585,PH133906191,,U,1090
PH133900000,Barangay 522,PH133906128,,U,1091
PH133900000,Barangay 290,PH133902004,,U,1093
PH133900000,Barangay 681,PH133911015,,U,1094
PH133900000,Barangay 88,PH133901088,,U,1096
PH133900000,Barangay 534,PH133906140,,U,1096
